customerId,sum_orderid,sum_price,avg_review_score,avg_payment_installments,last_order_status,last_payment_type,cust_custom,avg_freight_value,sum_payment_value,last_product_category_name,avg_review_score,last_seller_state,last_customer_state,avg_product_height_cm,DaysLastOrder,churn
ae695f766cf0fad86197be5721a0c098,1,1480,50,20,delivered,credit_card,28,1324,16124,cool_stuff,50,PR,RS,120,119,TRUE
aeab624af1bceb8dfe2bd2f89b1aefa1,1,816,40,30,delivered,credit_card,28,273,1089,moveis_decoracao,40,SP,MT,220,119,TRUE
aedde36d02c30b75047d587c10d71b78,1,3999,40,60,delivered,credit_card,25,2206,6205,telefonia,40,SP,BA,80,119,TRUE
b01ee85b99adba20a7e9255812b1dc0e,1,3999,50,10,delivered,credit_card,14,1115,5114,pet_shop,50,SP,SP,320,119,TRUE
b457be6b6697fceb8d4863c876f7a6cc,1,699,50,40,delivered,credit_card,18,1946,8936,utilidades_domesticas,50,PR,RS,120,119,TRUE
b4dcecc2273383b0ff12622718bfb081,1,6499,40,30,delivered,credit_card,23,2295,8794,beleza_saude,40,MA,DF,120,119,TRUE
b6c093368f7ec73197e04de2efa14a75,1,690,50,30,delivered,credit_card,16,1384,8284,eletroportateis,50,SP,SP,300,119,TRUE
b7b8df9d78626d28774243eb92647638,1,980,40,80,delivered,credit_card,22,2293,28772,cama_mesa_banho,40,SP,RJ,100,119,TRUE
b82c451731cadb4d5e275ff087ad4845,1,489,40,10,delivered,credit_card,22,1823,6713,pet_shop,40,SP,RJ,70,119,TRUE
b87a274e4841f668033d1776bb8117fc,1,1390,50,10,delivered,credit_card,25,1694,15594,papelaria,50,SP,RJ,80,119,TRUE
b88054950162861bde66e9a073293bea,1,27772,10,40,canceled,credit_card,11,1257,29029,beleza_saude,10,SP,SP,120,119,TRUE
b98ffc4585392290cf590c54056ce198,1,1499,50,20,delivered,credit_card,28,4634,19624,esporte_lazer,50,PR,RJ,200,119,TRUE
ba09cdff04586794fc557641afb2bd1a,1,16999,40,30,delivered,credit_card,28,1907,18906,construcao_ferramentas_iluminacao,40,SP,RS,190,119,TRUE
ba7a1b9e31b148e55b016a0c1ffc60b8,1,699,40,10,delivered,credit_card,23,0,699,moveis_decoracao,40,SP,BA,100,119,TRUE
bb78f0f97a57028a1078e1d1664748c1,1,4999,50,10,delivered,credit_card,16,1523,6522,telefonia,50,SP,MG,40,119,TRUE
bb9552027602ccc6b1c8569d08ed9e5e,1,750,50,10,delivered,credit_card,16,1297,8797,automotivo,50,SP,SP,210,119,TRUE
bd48312ef3ab7e4e832808c1ca9ad9d3,1,849,50,10,delivered,credit_card,21,1956,10446,cool_stuff,50,PR,SP,210,119,TRUE
bd90c3e19e58ff2439e72b0554026418,1,22180,50,40,delivered,credit_card,28,9682,231482,bebes,50,SP,PR,750,119,TRUE
be4cb19272858d959b1f4738e8669150,1,4300,40,60,delivered,credit_card,16,1545,44545,telefonia,40,SP,SP,70,119,TRUE
be7e5ff8a8365022c9efac551c7c3a49,1,14999,50,30,delivered,credit_card,15,1417,16416,brinquedos,50,MG,MG,70,119,TRUE
be944e18771b53c2a11aa6937bed54a6,1,11532,40,40,delivered,credit_card,11,815,12347,esporte_lazer,40,SP,SP,150,119,TRUE
bf2aa6e364fd8bbef419a4a460c1e077,1,9999,50,20,delivered,credit_card,18,1667,11666,bebes,50,SP,DF,330,119,TRUE
bfabd561837fc8ae17420e8d97818ea6,1,15949,50,20,delivered,credit_card,28,4978,20927,utilidades_domesticas,50,SC,GO,120,119,TRUE
c01ac50f437f46cc8fffb6d1a01d8631,1,2248,10,40,delivered,credit_card,23,1622,152945,moveis_decoracao,10,SP,MG,238,119,TRUE
c0842fc6a034863db2d8479df8435492,2,3080,50,10,delivered,debit_card,8,778,5445,utilidades_domesticas,50,SP,SP,90,119,TRUE
c0a0fc9a402b0e6f49a05ecdac06519f,1,13999,10,100,processing,credit_card,28,3684,17683,bebes,10,SP,SP,400,119,TRUE
c175d379d5d15872fa88cc38353c0396,1,6480,50,80,delivered,credit_card,17,5366,70166,perfumaria,50,MG,SP,1020,119,TRUE
c1f1bc58d8bd6712acdea8c38d461d3b,1,20384,40,30,delivered,credit_card,21,2243,4974,utilidades_domesticas,40,SP,BA,495,119,TRUE
c3460ac44417c13fc9dd990ee388c3ae,1,2890,50,40,delivered,credit_card,31,196,3086,papelaria,50,MG,RJ,250,119,TRUE
c3818f2a1aa9b856afa2cc5adf8e97b7,1,1899,50,80,delivered,credit_card,31,5346,24336,malas_acessorios,50,RS,MT,500,119,TRUE
c51fab090c0c77556a1a762add555fef,1,599,40,30,delivered,credit_card,35,2748,8738,papelaria,40,MG,RO,520,119,TRUE
c563cc0d1514b8f7fa9b4a40f158fca0,1,3300,50,80,delivered,credit_card,21,1203,34203,beleza_saude,50,SP,GO,40,119,TRUE
c5fadbf2139a45a404f1ecbf1e61dca6,1,1149,50,10,delivered,credit_card,42,2338,13828,cama_mesa_banho,50,SP,RJ,80,119,TRUE
c68fc87e71247306abfec35ecd41ab78,1,1898,10,10,delivered,credit_card,22,1458,3356,telefonia,10,SP,PR,40,119,TRUE
c6c34abe18de961afd201f95cf11049d,1,3999,50,10,delivered,credit_card,16,739,4738,ferramentas_jardim,50,SP,SP,140,119,TRUE
c91276cc83f4daf0cec3bda5ce666df2,1,406,50,10,delivered,credit_card,15,1523,5583,construcao_ferramentas_construcao,50,SP,RJ,270,119,TRUE
c958ede5a0c3284ba764a3682f2dccc6,1,489,50,40,delivered,credit_card,11,787,5677,pet_shop,50,SP,SP,70,119,TRUE
ccdc2cd25c64913a68fe4d44e43c7402,1,1590,40,10,delivered,credit_card,23,2153,18053,moveis_decoracao,40,SP,SP,500,119,TRUE
cdc69d19bd629d9087f32d67e15a39a4,1,1799,50,10,delivered,credit_card,25,477,2276,moveis_decoracao,50,PR,DF,80,119,TRUE
